rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Hoey, Rico",5.01,29.1,77.7,0.1891057969338705
2,"Yu, Kevin",3.63,23.5,73.9,0.4638562186903886
3,"Olesen, Thorbjorn",3.36,22.5,73.4,0.14958472387009356
4,"Coody, Pierceson",2.89,20.7,71.8,0.683940946925885
5,"Svensson, Jesper",2.1,17.0,68.3,0.09936206387009355
6,"Echavarria, Nico",1.96,16.4,68.2,0.12014493644673686
7,"Stevens, Sam",1.95,16.1,67.5,0.361182294205768
8,"Wallace, Matt",1.92,16.5,67.9,0.14536413387009356
9,"Smalley, Alex",1.89,16.2,67.4,0.3419271023274634
10,"Kanaya, Takumi",1.89,16.2,68.2,0.11504026587009356
11,"Whaley, Vince",1.85,15.2,66.5,-0.2799070675086919
12,"McGreevy, Max",1.81,14.8,66.0,0.10834423403580677
13,"Fisk, Steven",1.54,14.3,65.9,0.10680349787009355
14,"Perez, Victor",1.47,13.2,64.6,0.10885966187009355
15,"Kuchar, Matt",1.42,13.0,64.4,0.13720433187009357
16,"Ghim, Doug",1.4,12.9,64.2,0.07335061007353959
17,"Hubbard, Mark",1.38,13.1,64.2,-0.12915906184631362
18,"Sigg, Greyson",1.37,13.4,64.2,0.1101590275325358
19,"Hossler, Beau",1.28,12.1,62.9,-0.16026982528662753
20,"Rodgers, Patrick",1.25,12.3,63.3,-0.015951879544932546
